,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
614,2024-11-12 08:07:46,I would like to complete:,"I have completed:,I would like to complete:",,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,No,Remote/Online,"Developed relevant skills,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Psychology,HR
615,2024-11-12 08:07:15,I have completed:,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,3+,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Previous Employment (Internship),Personal Contact/Direct Correspondence - Alumni,Personal Contact/Direct Correspondence - Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,Difficult to find opportunities in my field,,Finance Concentration & Real Estate Track,"Finance, Real Estate, and Private Credit "
616,2024-11-12 08:07:45,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not have confidence in interviews,Could not consider unpaid internships",,Pre-Commerce,Finance (possibly investment banking)
617,2024-11-12 08:08:02,,I have completed:,I have completed:,,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,,,,"Difficult to find opportunities in my field,Did not have confidence in interviews",,English ,Law
618,2024-11-12 08:06:39,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Aerospace Engineering,"Engineering, Business  "
619,2024-11-12 08:07:57,,I would like to complete:,I have completed:,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,I did not face any barriers,,Biology,Medical assistant 
620,2024-11-12 08:07:50,,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Other - Please describe:,,Biology,Medical School
621,2024-11-12 08:07:55,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Pre-Comm,High Finance
622,2024-11-12 08:08:35,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I have completed an internship,,1,Personal Contact/Direct Correspondence - Other,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have confidence in interviews",,Pre-commerce/ Computer Science,Consulting
623,2024-11-12 08:08:34,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Government,Law
624,2024-11-12 08:08:03,I would like to complete:,I would like to complete:,,,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Aerospace Engineering,Aerospace Engineering
625,2024-11-12 08:08:16,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Computer Engineering ,Computer engineering and electrical engineering 
626,2024-11-12 08:08:26,I would like to complete:,I would like to complete:,,"I have completed:,I would like to complete:",Second Year,,,,No,School of Architecture,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not have the proper skills",,Architecture,Architect
627,2024-11-12 08:08:40,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Could not consider unpaid internships",,Economics and Spanish,public service
628,2024-11-12 08:08:15,I would like to complete:,,,I would like to complete:,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,English,Attending law school 
629,2024-11-12 08:07:55,I would like to complete:,I would like to complete:,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,3+,"Career Services - Handshake,Previous Employment (Internship),Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills",,History and Media Studies,Public Relations
630,2024-11-12 08:07:55,,,,,Third Year,,,,Yes,School of Education and Human Development,I have no current plans to seek an internship,,,,,I need to work and can't afford to take off time for an internship,,,,,,,,Early Childhood Education,Teach at a school
631,2024-11-12 08:07:12,I would like to complete:,,,I have completed:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,1,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,Lack of networking connections,,Applied Statistics,Data analyst 
632,2024-11-12 08:07:26,I would like to complete:,I would like to complete:,,,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not have confidence in interviews,,Aerospace Engineering,Navy Submarine Officer
633,2024-11-12 08:07:02,I have completed:,I have completed:,,I have completed:,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Career Fair,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Systems Engineering,Data Analysis 
634,2024-11-12 08:07:27,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact/Direct Correspondence - Faculty",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,I did not face any barriers,,Biology ,biotech or medicine
